id,食材名,翌日除外,翌3日除外
1,米,FALSE,FALSE
2,パン,TRUE,FALSE
3,中華麺・和麺,FALSE,TRUE
4,パスタ,FALSE,TRUE
5,牛肉,TRUE,FALSE
6,豚肉,TRUE,FALSE
7,鶏肉,TRUE,FALSE
8,加工肉,TRUE,FALSE
9,その他肉,FALSE,TRUE
10,魚,FALSE,TRUE
11,えび・いか・たこ・かに,FALSE,TRUE
12,たらこ・明太子,FALSE,TRUE
13,貝類,FALSE,TRUE
14,ツナ,FALSE,TRUE
15,しらす,FALSE,TRUE
16,練製品,FALSE,TRUE
17,卵,FALSE,FALSE
18,牛乳,FALSE,FALSE
19,ヨーグルト・チーズ,FALSE,FALSE
20,豆・大豆製品,FALSE,FALSE
21,いも類,TRUE,FALSE
22,玉ねぎ・ネギ,FALSE,FALSE
23,にんじん,FALSE,FALSE
24,キャベツ・白菜,FALSE,FALSE
25,大根・カブ,FALSE,FALSE
26,トマト・トマト缶,FALSE,FALSE
27,ピーマン・パプリカ,FALSE,FALSE
28,きゅうり,FALSE,FALSE
29,にら・春菊,FALSE,FALSE
30,なす,FALSE,FALSE
31,かぼちゃ,FALSE,FALSE
32,レタス,FALSE,FALSE
33,きのこ,FALSE,FALSE
34,ブロッコリー・カリフラワー,FALSE,FALSE
35,もやし,FALSE,FALSE
36,豆苗,FALSE,FALSE
37,水菜,FALSE,FALSE
38,ほうれん草・小松菜・チンゲンサイ,FALSE,FALSE
39,セロリ,FALSE,FALSE
40,アボカド,FALSE,FALSE
41,ごぼう・れんこん,FALSE,FALSE
42,オクラ,FALSE,FALSE
43,とうもろこし・コーン,FALSE,FALSE
44,アスパラガス,FALSE,FALSE
45,ズッキーニ,FALSE,FALSE
46,枝豆・いんげん,FALSE,FALSE
47,たけのこ,FALSE,FALSE
48,切り干し大根,FALSE,FALSE
49,キクラゲ,FALSE,FALSE
50,わかめ,FALSE,FALSE
51,ひじき,FALSE,FALSE
52,のり,FALSE,FALSE
53,こんにゃく,FALSE,FALSE
54,ごま,FALSE,FALSE
